-------------------------------------------------------------------------------------------------------

成交日期        成交时间        证券代码        证券名称        买卖标志          委托价格        委托数量        委托编号        成交价格        成交数量        成交金额        成交编号        剩余数量        股东代码          

20131022        11:28:11        601989          中国重工        融资开仓          6.100           12500           46342           6.100           12500           76250.00        3873601         14700           E011376294  
      
20131025        13:41:19        601989          中国重工        融资开仓          5.800           2400            50810           5.800           2400            13920.00        3745857         17100           E011376294  
      
20131108        10:55:05        601989          中国重工        融资开仓          5.490           2500            27606           5.490           2500            13725.00        1686572         24600           E011376294   
     
20131112        13:27:29        601989          中国重工        卖券还款          5.560           2500            40639           5.560           2500            13900.00        2472232         22100           E011376294        

20131114        14:46:02        601989          中国重工        卖出担保品        5.960           5000            49761           5.960           5000            29800.00        3813972         17100           E011376294        

20131120        10:50:13        601989          中国重工        卖出担保品        6.250           2000            4693            6.250           2000            12500.00        2309582         15100           E011376294        

20131121        09:37:14        601989          中国重工        融资开仓          6.020           2000            11277           6.020           2000            12040.00        419945          17100           E011376294        

20131127        11:10:43        601989          中国重工        卖出担保品        6.130           2000            24839           6.130           2000            12260.00        2521713         17100           E011376294        

20131128        13:34:59        002081          金 螳 螂        卖出担保品        22.500          600             59806           22.500          600             13500.00        16319221        2600            0601142237        

20131129        11:04:15        601989          中国重工        卖出担保品        6.280           2000            38893           6.280           2000            12560.00        2404765         15100           E011376294        

20131202        14:43:12        601989          中国重工        融资开仓          5.950           2000            84469           5.950           2000            11900.00        7087013         17100           E011376294        

20131204        10:27:32        601989          中国重工        卖出担保品        6.150           2000            31499           6.150           2000            12300.00        2257088         15100           E011376294        

20131204        13:09:46        002081          金 螳 螂        卖出担保品        25.220          500             55310           25.220          500             12610.00        14329084        900             0601142237        

20131211        10:16:03        601989          中国重工        融资开仓          6.010           2000            18090           6.010           2000            12020.00        1636236         17100           E011376294        

20131211        13:53:39        002081          金 螳 螂        融资开仓          23.690          700             48522           23.690          700             16583.00        13927553        1600            0601142237        

20131211        14:43:49        002081          金 螳 螂        卖出担保品        23.960          700             58429           23.960          700             16772.00        17815478        900             0601142237        

20131212        10:12:02        002081          金 螳 螂        融资开仓          23.770          600             20581           23.770          600             14262.00        4797485         1500            0601142237        

20131212        11:18:39        002081          金 螳 螂        卖券还款          24.080          600             20914           24.080          600             14448.00        9362440         900             0601142237        

20131213        14:03:02        601989          中国重工        融资开仓          5.920           2500            12578           5.920           2500            14800.00        3224589         19600           E011376294        

20131216        11:28:19        601989          中国重工        融资开仓          5.750           2500            8276            5.750           2500            14375.00        2882097         22100           E011376294        

20131216        10:41:23        601989          中国重工        融资开仓          5.850           2500            29823           5.850           2500            14625.00        1898531         24600           E011376294        

20131218        09:47:30        601989          中国重工        融资开仓          5.730           2500            11320           5.730           2500            14325.00        419164          27100           E011376294        

20131218        14:01:13        002081          金 螳 螂        融资开仓          22.840          600             40033           22.840          600             13704.00        12114703        1500            0601142237        

20131219        13:26:16        601989          中国重工        融资开仓          5.600           2500            25585           5.600           2500            14000.00        2433015         29600           E011376294        

20131220        14:12:55        601989          中国重工        融资开仓          5.460           2200            44490           5.460           2200            12012.00        3660113         37200           E011376294        

20131220        14:12:46        000333          美的集团        卖出担保品        50.830          300             47818           50.830          300             15249.00        14228362        475             0601142237        

20131226        13:30:53        601989          中国重工        融资开仓          5.450           2500            40744           5.450           2500            13625.00        2624802         39700           E011376294        

20140106        09:41:02        601989          中国重工        融资开仓          5.420           2500            5941            5.420           2500            13550.00        377576          44700           E011376294        

20140116        09:44:24        601989          中国重工        买入担保品        4.820           5700            11034           4.820           5700            27474.00        320780          50400           E011376294        

20140116        10:04:41        601989          中国重工        卖出担保品        4.860           5700            15371           4.860           5700            27702.00        724220          44700           E011376294        

20140117        09:57:15        601989          中国重工        融资开仓          4.820           3600            14690           4.820           3600            17352.00        596238          48300           E011376294        

20140120        10:25:06        601989          中国重工        卖出担保品        4.840           3600            22254           4.840           3600            17424.00        965166          44700           E011376294        

20140207        09:25:00        601989          中国重工        卖出担保品        5.100           2500            3706            5.160           2500            12900.00        446             42200           E011376294        

20140207        10:06:46        601989          中国重工        卖出担保品        5.350           2500            15716           5.350           2500            13375.00        946262          39700           E011376294        

20140210        09:58:48        601989          中国重工        卖出担保品        5.640           2500            21086           5.640           2500            14100.00        1204304         37200           E011376294        

20140212        09:34:33        601989          中国重工        融资开仓          5.620           2500            8000            5.620           2500            14050.00        222580          39700           E011376294        

20140212        10:12:03        601989          中国重工        融资开仓          5.560           2500            27319           5.560           2500            13900.00        1519115         42200           E011376294        

20140212        10:59:27        601989          中国重工        卖出担保品        5.590           2500            28549           5.590           2500            13975.00        2529985         39700           E011376294        

20140213        09:42:18        601989          中国重工        融资开仓          5.540           2500            9759            5.540           2500            13850.00        543935          42200           E011376294        

20140213        10:36:21        601989          中国重工        融资开仓          5.440           2500            37909           5.440           2500            13600.00        2247085         44700           E011376294        

20140214        11:23:39        601989          中国重工        融资开仓          5.420           2500            44023           5.420           2500            13550.00        2625796         47200           E011376294        

20140214        13:31:59        601989          中国重工        卖出担保品        5.460           2500            44252           5.460           2500            13650.00        3329963         44700           E011376294        

20140217        09:42:51        601989          中国重工        卖出担保品        5.620           2500            15628           5.620           2500            14050.00        644044          42200           E011376294        

20140218        11:12:23        002081          金 螳 螂        卖出担保品        21.850          600             22384           21.850          600             13110.00        15459854        1600            0601142237        

20140218        13:20:15        601989          中国重工        卖出担保品        5.620           2500            48739           5.620           2500            14050.00        4048032         39700           E011376294        

20140218        13:52:59        002081          金 螳 螂        卖出担保品        22.440          600             66445           22.440          600             13464.00        22004746        1000            0601142237        

20140220        10:07:22        601989          中国重工        融资开仓          5.520           2500            28744           5.520           2500            13800.00        1937548         42200           E011376294        

20140221        14:34:29        002081          金 螳 螂        融资开仓          20.710          600             67898           20.710          600             12426.00        20924016        1600            0601142237        

20140224        09:35:23        002081          金 螳 螂        融资开仓          19.780          600             7988            19.780          600             11868.00        1496093         2200            0601142237        

20140224        09:44:15        601989          中国重工        融资开仓          5.210           2500            16078           5.210           2500            13025.00        716625          44700           E011376294        

20140225        14:36:12        601989          中国重工        融资开仓          5.050           2500            80196           5.050           2500            12625.00        5828628         47200           E011376294        

20140227        11:11:05        601989          中国重工        卖出担保品        5.120           2500            46397           5.120           2500            12800.00        2739535         44700           E011376294        

20140228        14:26:33        002081          金 螳 螂        融资开仓          18.490          600             68101           18.490          600             11094.00        20599736        2800            0601142237        

20140303        11:20:03        601989          中国重工        卖出担保品        5.320           2500            47475           5.320           2500            13300.00        2934910         42200           E011376294        

20140305        13:30:23        002081          金 螳 螂        卖出担保品        18.740          600             36733           18.740          600             11244.00        15074404        2200            0601142237        

20140305        14:38:45        601989          中国重工        融资开仓          5.220           2500            68888           5.220           2500            13050.00        4501159         44700           E011376294        

20140307        14:04:04        002081          金 螳 螂        融资开仓          18.460          600             64999           18.460          600             11076.00        17553280        2800            0601142237        

20140310        14:20:21        601989          中国重工        融资开仓          4.870           2500            5407            4.870           2500            12175.00        4494736         47200           E011376294        

20140310        09:43:44        000333          美的集团        卖出担保品        40.340          300             15317           40.340          300             12102.00        3136406         175             0601142237        

20140310        09:56:21        002081          金 螳 螂        买入担保品        17.650          600             21710           17.650          600             10590.00        5170840         3400            0601142237        

20140313        13:35:10        002081          金 螳 螂        卖出担保品        17.850          600             53510           17.850          600             10710.00        12842926        2800            0601142237        

20140509        09:34:32        601989          中国重工        卖出担保品        4.500           2600            7732            4.500           2600            11700.00        154310          44600           E011376294        

20140627        13:42:28        601989          中国重工        卖出担保品        4.740           5000            5302            4.740           5000            23700.00        3040330         39600           E011376294        

20140627        09:34:01        002081          金 螳 螂        卖出担保品        14.050          900             5362            14.050          900             12645.00        1279029         3300            0601142237        

20140708        14:12:40        002081          金 螳 螂        卖出担保品        14.580          900             62973           14.580          900             13122.00        17807988        2400            0601142237        

20140709        13:21:42        601989          中国重工        卖出担保品        4.970           2500            54317           4.970           2500            12425.00        3108390         37100           E011376294        

20140710        10:35:10        002081          金 螳 螂        融资开仓          13.710          900             5973            13.710          900             12339.00        8252410         3300            0601142237        

20140710        14:38:03        601989          中国重工        融资开仓          4.830           2500            22902           4.830           2500            12075.00        4207826         39600           E011376294        

20140710        13:05:22        002081          金 螳 螂        卖出担保品        14.100          900             40163           14.100          900             12690.00        12541903        2400            0601142237        

20140711        14:55:48        601989          中国重工        卖出担保品        4.910           2500            76500           4.910           2500            12275.00        4677826         37100           E011376294        

