-------------------------------------------------------------------------------------------------------

流水号        开仓日期        到期日          证券代码        证券名称        融资金额        偿还金额        剩余金额        买均价        融资利息        已还利息        逾期罚息        已还罚息        合约参考盈亏        
7313          20131022        20140421        601989          中国重工        76318.50        76318.50        0.00            6.100         495.39          495.39          0.00            0.00            0.00   
             
6845          20131025        20140424        601989          中国重工        13932.58        13932.58        0.00            5.800         115.38          115.38          0.00            0.00            0.00    
            
3126          20131108        20140507        601989          中国重工        13737.48        13737.48        0.00            5.490         81.09           81.09           0.00            0.00            9405.00 
            
833           20131121        20140520        601989          中国重工        12050.83        12050.83        0.00            6.020         37.44           37.44           0.00            0.00            9900.00  
           
13755         20131202        20140602        601989          中国重工        11910.72        11910.72        0.00            5.950         23.54           23.54           0.00            0.00            0.00   
             
3283          20131211        20140610        601989          中国重工        12030.82        12030.82        0.00            6.010         60.97           60.97           0.00            0.00            0.00   
             
7511          20131211        20140610        002081          金 螳 螂        16596.27        16596.27        0.00            23.690        0.00            0.00            0.00            0.00            0.00   
             
2108          20131212        20140611        002081          金 螳 螂        14273.41        14273.41        0.00            23.770        231.88          231.88          0.00            0.00            0.00  
              
6043          20131213        20140612        601989          中国重工        14813.34        14813.34        0.00            5.920         120.36          120.36          0.00            0.00            0.00  
              
4014          20131216        20140616        601989          中国重工        14638.20        14638.20        0.00            5.850         116.82          116.82          0.00            0.00            0.00    
            
5953          20131216        20140616        601989          中国重工        14388.00        14388.00        0.00            5.750         145.02          145.02          0.00            0.00            0.00  
              
918           20131218        20140617        601989          中国重工        14337.96        14337.96        0.00            5.730         174.84          174.84          0.00            0.00            0.00   
             
4899          20131218        20140617        002081          金 螳 螂        13714.96        13714.96        0.00            22.840        208.50          208.50          0.00            0.00            0.00  
              
4654          20131219        20140618        601989          中国重工        14012.70        14012.70        0.00            5.600         173.73          173.73          0.00            0.00            0.00  
              
7216          20131220        20140619        601989          中国重工        12022.93        12022.93        0.00            5.460         152.48          152.48          0.00            0.00            0.00 
               
5911          20131226        20140625        601989          中国重工        13637.40        13637.40        0.00            5.450         159.54          159.54          0.00            0.00            0.00  
              
1221          20140106        20140707        601989          中国重工        13562.34        13562.34        0.00            5.420         130.93          130.93          0.00            0.00            0.00  
              
1616          20140117        20140716        601989          中国重工        17368.04        17368.04        0.00            4.820         130.96          130.96          0.00            0.00            0.00  
              
597           20140212        20140811        601989          中国重工        14062.74        14062.74        0.00            5.620         41.14           41.14           0.00            0.00            0.00  
              
3378          20140212        20140811        601989          中国重工        13912.62        13912.62        0.00            5.560         61.02           61.02           0.00            0.00            0.00  
              
1332          20140213        20140812        601989          中国重工        13862.58        13862.58        0.00            5.540         263.88          262.83          0.00            0.00            0.00   
             
5190          20140213        20140812        601989          中国重工        13612.38        13612.38        0.00            5.440         435.53          412.78          0.00            0.00            0.00  
              
5510          20140214        20140813        601989          中国重工        13562.34        13562.34        0.00            5.420         442.80          408.24          0.00            0.00            0.00  
              
3995          20140220        20140819        601989          中国重工        13812.54        13812.54        0.00            5.520         461.34          396.00          0.00            0.00            0.00   
             
9232          20140221        20140820        002081          金 螳 螂        12435.94        12435.94        0.00            20.710        40.76           40.76           0.00            0.00            0.00   
             
923           20140224        20140825        002081          金 螳 螂        11877.49        11877.49        0.00            19.780        145.81          139.37          0.00            0.00            0.00 
               
2076          20140224        20140825        601989          中国重工        13036.92        6709.29         6327.63         5.210         430.80          360.93          0.00            0.00            -6327.63 
           
12280         20140225        20140825        601989          中国重工        12636.60        0.00            12636.60        5.050         419.77          347.29          0.00            0.00            -8181.60  
          
8440          20140228        20140827        002081          金 螳 螂        11102.88        11102.88        0.00            18.490        324.73          296.83          0.00            0.00            0.00  
              
8900          20140305        20140904        601989          中国重工        13061.94        0.00            13061.94        5.220         408.72          333.84          0.00            0.00            -686.94  
           
7609          20140307        20140909        002081          金 螳 螂        11084.86        11084.86        0.00            18.460        326.66          278.22          0.00            0.00            0.00    
            
9541          20140310        20140909        601989          中国重工        12186.24        0.00            12186.24        4.870         366.66          296.82          0.00            0.00            188.76  
            
3709          20140710        20150109        002081          金 螳 螂        12346.40        11134.21        1212.19         13.710        1.16            0.00            0.00            0.00            -1212.19  
          
8862          20140710        20150109        601989          中国重工        12083.75        0.00            12083.75        4.830         11.55           0.00            0.00            0.00            291.25 
             
