编码:            -------------   399005   ----------

日期        总成交量 总成交额   O        C        H        L        涨幅   沪股通   深股通

08.01(周二) 万   1225.41亿  7041.37  7070.70  7085.83  7036.72  +0.22% +9.69亿  +6.35亿  低开震荡微涨.

08.23(周三) 7288万   998.63亿   7196.41  7179.60  7216.39  7164.40  +0.25% +0.00亿  +0.00亿  低开震荡收跌.

08.22(周二) 8608万   1211.88亿  7216.34  7197.30  7224.62  7180.73  -0.22% -2.02亿  +3.05亿  高开震荡收跌.

08.21(周一) 7753万   1101.03亿  7173.39  7213.47  7216.76  7173.14  +0.70% -1.57亿  +4.35亿  高开震荡收涨.

08.18(周五) 8024万   1110.16亿  7150.46  7163.48  7184.91  7133.92  -0.48% +0.37亿  -10.1亿  低开震荡收跌.

08.17(周四) 8917万   1234.46亿  7165.47  7197.91  7217.52  7159.30  +0.33% -0.28亿  +8.15亿  低开震荡收涨.

08.16(周三) 8467万   1172.96亿  7114.87  7174.27  7199.30  7084.61  +0.63% +2.08亿  +7.15亿  低开震荡收涨.

08.15(周二) 7892万   1090.17亿  7090.84  7129.65  7131.71  7085.79  +0.70% -2.06亿  +2.21亿  高开震荡收涨.

08.14(周一) 7975万   1089.34亿  6905.81  7079.92  7082.58  6905.81  +2.72% -2.12亿  +5.38亿  高开震荡暴涨.

08.11(周五) 8033万   1043.74亿  6957.03  6892.32  6997.50  6886.01  -1.46% -7.32亿  -0.91亿  低开震荡大跌.

08.10(周四) 8084万   1072.95亿  6995.44  6994.76  7056.33  6963.35  -0.09% -4.37亿  +2.48亿  低开震荡微跌.

08.09(周三) 7306万   941.11亿   6965.96  7000.95  7010.68  6948.97  +0.36% +7.47亿  +5.71亿  低开震荡收涨.

08.08(周二) 8276万   1066.08亿  6955.40  6975.61  6991.31  6946.36  +0.21% +10.5亿  +8.65亿  低开震荡微涨.

08.07(周一) 6691万   890.28 亿  6904.37  6960.84  6960.84  6903.93  +0.69% +16.2亿  +13.2亿  低开震荡收涨.

08.04(周五) 8825万   1171.77亿  6979.83  6913.45  6992.04  6913.45  -1.09% +20.8亿  +8.69亿  低开震荡大跌.

08.03(周四) 8588万   1138.22亿  7043.96  6989.86  7054.00  6970.44  -0.91% +13.2亿  +11.8亿  低开震荡收跌.

08.02(周三) 9789万   1308.91亿  7091.86  7053.90  7116.17  7043.94  -0.24% +1.74亿  +1.97亿  高开震荡微跌.

08.01(周二) 9155万   1225.41亿  7041.37  7070.70  7085.83  7036.72  +0.22% +9.69亿  +6.35亿  低开震荡微涨.

07.28(周五) 8017万   1083.85亿  6944.56  6995.56  7010.05  6938.89  +0.55% +14.6亿  +9.40亿  低开震荡收涨。近一年第一次破7000点

07.27(周四) 9504万   1269.14亿  6878.40  6957.40  6965.76  6820.85  +1.09% +15.1亿  +13.3亿  低开震荡大涨. 跟随创业板涨.

07.26(周三) 7180万   964.88亿   6926.04  6882.67  6937.27  6845.55  -0.55% +13.0亿  +5.89亿  高开震荡收跌.

07.25(周二) 7020万   951.13亿   6962.37  6920.45  6992.32  6895.43  -0.62% +0.32亿  +12.9亿  低开震荡收跌.

07.24(周一) 7353万   996.61亿   6952.80  6963.35  6970.42  6927.66  +0.09% +2.07亿  +14.9亿  低开震荡回升微涨.

07.21(周五) 6866万   963.10亿   6935.15  6956.81  6986.36  6930.17  +0.31% +3.82亿  +12.2亿  低开震荡收涨.

07.20(周四) 7489万   1059.98亿  6875.41  6935.01  6955.97  6868.60  +0.78% -1.90亿  +3.97亿  低开冲高回落收涨.

07.19(周三) 7694万   1044.05亿  6703.24  6881.14  6881.96  6692.23  +2.35% +7.54亿  +11.1亿  低开震荡回升大涨.

07.18(周二) 6723万   896.15亿   6682.23  6723.31  6730.04  6623.81  +0.03% +11.3亿  +9.69亿  低开震荡微涨.

07.17(周一) 9475万   1244.48亿  6879.97  6721.52  6881.25  6634.56  -2.82% +0.75亿  +13.7亿  低开下探震荡大跌. 创业板崩盘! 有缺口！！

07.14(周五) 5996万   856.94亿   6901.65  6916.64  6931.17  6856.07  +0.15% -0.85亿  +2.67亿  低开下探震荡回升收跌.

07.13(周四) 6837万   968.29亿   6897.96  6905.94  6918.89  6882.81  +0.19% +7.90亿  +6.52亿  高开震荡收涨.

07.12(周三) 7286万   1030.68亿  6889.11  6892.51  6907.25  6827.05  +0.07% +6.05亿  +10.8亿  高开震荡微涨..

07.11(周二) 7255万   1017.55亿  6921.22  6887.39  6959.01  6884.43  -0.64% +1.63亿  +7.54亿  低开震荡回升后跳水收跌.

07.10(周一) 8251万   1157.86亿  6957.77  6932.05  6969.63  6922.80  -0.57% +1.26亿  +8.95亿  低开震荡收跌.

07.07(周五) 8003万   1144.76亿  6951.30  6971.46  6980.82  6932.25  +0.07% -1.28亿  +4.82亿  低开震荡收涨.

07.06(周四) 8313万   1204.43亿  6953.37  6966.82  6999.19  6914.07  -0.03% -8.12亿  -1.97亿  低开震荡微跌.早盘尾盘跳水,午后攀升微跌. 振幅较大，量能也放大了

07.05(周三) 6971万   1028.59亿  6881.55  6968.92  6969.53  6873.52  +1.05% +3.41亿  +3.39亿  低开震荡回升大涨..

07.04(周二) 6336万   943.59亿   6933.34  6896.35  6935.13  6869.75  -0.58% -3.11亿  -2.02亿  低开震荡收跌.

07.03(周一) 6131万   896.89亿   6950.36  6936.57  6955.77  6881.44  -0.14% +1.79亿  +3.22亿  低开下探震荡回升收跌.

06.30(周五) 5665万   831.37亿   6905.18  6946.43  6951.56  6883.11  +0.10% -9.61亿  -1.12亿  低开震荡微涨

06.29(周四) 5932万   891.95亿   6876.08  6939.66  6940.20  6876.08  +0.96% +22.2亿  +10.2亿  高开震荡大涨。

06.28(周三) 6250万   919.91亿   6905.05  6873.75  6918.76  6857.70  -0.73% -7.16亿  +4.02亿  低开震荡收跌

06.27(周二) 6447万   920.48亿   6928.96  6924.58  6937.66  6890.43  -0.09% +19.9亿  +7.50亿  平开震荡微跌. 今日金融拉指数. 沪股通净流入巨大！

06.26(周一) 6812万   997.79亿   6837.08  6930.80  6930.80  6833.91  +1.57% -2.47亿  +4.76亿  高开震荡大涨.普涨, 万科涨停,茅台创新高, 中小板强势！有缺口

06.23(周五) 7100万   904.86亿   6750.60  6823.53  6823.53  6713.58  +1.03% +5.85亿  +10.6亿  低开震荡大涨.早盘尾盘跳水,午后振荡攀升

06.22(周四) 7951万   1129.23亿  6815.42  6753.98  6860.42  6752.84  -0.94% +4.91亿  +12.8亿  低开震荡大跌. 尾盘跳水!!!!

06.21(周三) 6944万   973.00亿   6763.21  6818.40  6818.40  6747.25  +1.11% +4.77亿  +10.5亿  高开震荡大涨.MSCI纳入A股,标的没有创业板,有不少中小板

06.20(周二) 7078万   1001.87亿  6744.70  6743.41  6768.79  6730.61  +0.27% -0.93亿  +4.94亿  高开震荡收涨。 有个缺口！！

06.19(周一) 6209万   869.61亿   6699.20  6725.08  6725.08  6688.63  +0.30% +12.0亿  +11.9亿  低开震荡收涨

06.16(周五) 6280万   895.72亿   6719.54  6704.95  6726.44  6690.36  -0.29% +6.53亿  +4.89亿  低开震荡收跌

06.15(周四) 7538万   1038.24亿  6671.60  6724.23  6724.23  6668.75  +0.66% +14.3亿  +8.69亿  低开震荡收涨

06.14(周三) 6827万   983.34亿   6718.65  6680.05  6732.04  6671.66  -0.74% -10.1亿  -2.58亿  低开震荡收跌

06.13(周二) 6357万   900.80亿   6626.51  6729.57  6742.81  6625.50  +1.34% -0.96亿  +6.97亿  低开震荡大涨

06.12(周一) 6460万   910.66亿   6659.47  6640.79  6686.39  6631.77  -0.81% -10.2亿  +0.98亿  低开震荡收跌.

06.09(周五) 6812万   955.83亿   6658.17  6695.29  6700.29  6654.22  +0.61% +9.03亿  +5.64亿  高开震荡收涨.

06.08(周四) 7470万   1060.53亿  6647.31  6654.58  6673.61  6637.48  +0.01% +10.3亿  +13.9亿  低开震荡微涨(几乎收平)

06.07(周三) 8220万   1149.70亿  6509.47  6654.13  6558.73  6509.41  +2.22% +5.74亿  +18.1亿  平开震荡大涨.普涨

06.06(周二) 5292万   726.28亿   6464.60  6509.93  6509.93  6453.62  +0.62% +8.93亿  +12.3亿  低开震荡收涨.

06.05(周一) 5669万   778.83亿   6425.46  6469.52  6484.20  6424.58  +0.76% +8.71亿  +10.2亿  高开震荡收涨.

06.02(周五) 6316万   815.67亿   6370.89  6420.93  6426.16  6318.96  +0.57% +7.04亿  +10.3亿  低开震荡收涨. 午后拉升!!!!

06.01(周四) 6690万   904.00亿   6427.55  6384.63  6460.39  6382.78  -0.93% -18.7亿  +2.66亿  低开震荡大跌. 尾盘跳水!!!!

05.31(周三) 6502万   916.27亿   6490.79  6444.75  6512.83  6432.52  +0.04% -13.3亿  -2.14亿  高开震荡回落微涨

05.26(周五) 6266万   868.40亿   6474.25  6442.21  6492.07  6428.56  -0.67% -3.00亿  +3.44亿  低开震荡收跌

05.25(周四) 6756万   920.52亿   6440.88  6485.86  6495.33  6385.79  +0.40% +10.7亿  +6.00亿  低开震荡探底反弹收涨. 盘中一度跌超-1%

05.24(周三) 5730万   794.57亿   6398.56  6460.30  6460.30  6324.35  +0.59% +3.51亿  +8.45亿  低开探底反弹震荡收涨

05.23(周二) 6439万   933.64亿   6464.39  6422.46  6523.86  6419.84  -0.91% -2.72亿  +6.62亿  低开震荡大跌！ 权重撑指数,个股实际跌幅很大！！！！！

05.22(周一) 5863万   871.17亿   6485.62  6481.61  6532.40  6457.92  -0.22% +0.85亿  +5.59亿  低开下探反弹震荡回落收跌

05.19(周五) 5374万   810.40亿   6529.96  6496.07  6544.27  6465.96  -0.30% +3.88亿  +9.83亿  高开震荡收跌

05.18(周四) 5943万   905.69亿   6517.88  6515.76  6562.64  6500.60  -0.79% +1.66亿  +8.45亿  低开震荡收跌

05.17(周三) 7295万   1147.47亿  6587.32  6567.88  6621.05  6560.06  -0.48% +6.00亿  +9.54亿  低开震荡收跌

05.16(周二) 6985万   1081.25亿  6447.95  6599.34  6599.34  6418.48  +2.15% +16.5亿  +15.1亿  低开震荡攀升大涨。放量大涨！

05.15(周一) 4991万   774.56亿   6424.42  6460.51  6468.22  6424.42  +0.90% +8.81亿  +8.76亿  高开震荡收涨

05.12(周五) 5273万   792.34亿   6399.10  6403.11  6413.96  6364.34  -0.06% -3.87亿  +6.76亿  低开震荡微跌

05.11(周四) 6549万   922.00亿   6367.07  6407.04  6412.81  6291.33  +0.12% +14.1亿  +9.61亿  低开震荡探底反弹微涨。盘中一度跌逾-1.5%

05.10(周三) 5978万   918.37亿   6451.00  6399.52  6499.15  6399.93  -0.76% +11.5亿  +11.3亿  微幅高开震荡收跌. 创业板暴跌！！

05.09(周二) 5262万   796.45亿   6391.88  6448.75  6448.75  6355.36  +0.61% +11.4亿  +11.4亿  低开震荡收涨

05.08(周一) 5967万   889.46亿   6479.37  6409.54  6499.41  6409.00  -1.29% -5.70亿  +8.87亿  低开震荡大跌. 尾盘跳水.

05.05(周五) 6401万   971.07亿   6558.80  6493.18  6573.12  6493.18  -1.25% -7.74亿  +5.77亿  低开震荡大跌

